airline_id,name,iata,icao,active
544,Aviodetachment-28,,BGF,N
545,Aero BG,,BGG,N
546,Aerotaxis De La Bahia,,BHC,N
547,Air Mediterranee,DR,BIE,Y
548,Aviaservice,,BIV,N
549,Aerolineas De El Salvador,,SZA,N
550,Swaziland Airlink,,SZL,N
551,Air Moorea,,TAH,Y
552,Aerovaradero,,AVY,N
553,Air Valencia,,AVZ,N
554,Airways International,,AWB,N
555,Airwork,,AWK,N
556,Australian Wetleasing,,AWL,N
557,Air Niamey,,AWN,N
558,Awood Air Ltd.,,AWO,N
559,Arctic Wings And Rotors Ltd.,,AWR,N
560,Auo Airclub AIST-M,,ISM,N
561,Arab Wings,,AWS,N
562,Air West,,AWT,N
563,Aeroline GmbH,7E,AWU,Y
564,Airwave Transport,,AWV,N
565,Air Wales,6G,AWW,Y
566,Aeroway,,AWY,N
567,Air Caraïbes,TX,FWI,Y
568,AirWest,,AWZ,N
569,Air India Express,IX,AXB,Y
570,Air Express,,AXD,N
571,Asian Express Airlines,HJ,AXF,N
572,Aeromexhaga,,AXH,N
573,Aeron International Airlines,,AXI,N
574,African Express Airways,,AXK,N
575,Air Exel,XT,AXL,Y
576,AirAsia,AK,AXM,Y
577,Alexandair,,AXN,N
578,Aeromax,,AXP,N
579,Action Airlines (Action Air Charter),,AXQ,N
580,Alberni Airways,,BNI,N
581,Aerolineas Bonanza,,BNZ,N
582,Aerobona,,BOC,N
583,Aboitiz Air,,BOI,N
584,Axel Rent,,AXR,N
585,Altus Airlines,,AXS,N
586,Aviaxess,,AXV,N
587,Avioimpex A.D.p.o.,,AXX,N
588,Axis Airways,6V,AXY,N
589,Aladia Airlines,,AYD,N
590,Aykavia Aircompany,,AYK,N
591,Airman,,AYM,N
592,Atlantic Airlines,,AYN,N
593,Awsaj Aviation Services,,AYS,N
594,Ayeet Aviation & Tourism,,AYT,N
595,Atlant-Soyuz Airlines,3G,AYZ,Y
596,Alitalia,AZ,AZA,Y
597,Azamat,,AZB,N
598,Arcus-Air Logistic,ZE,AZE,N
599,Air Zermatt AG,,AZF,N
600,Azalhelikopter,,AZK,N
601,Africa One,,AZL,N
602,Aerocozumel,,AZM,N
603,Amaszonas,Z8,AZN,Y
604,Arizona Pacific Airways,,AZP,N
605,Aviacon Zitotrans Air Company,,AZS,N
606,Azimut,,AZT,N
607,Azov Avia Airlines,,AZV,N
608,Air Zimbabwe,UM,AZW,Y
609,Aero Jomacha,,MHC,N
610,Air Memphis,,MHS,N
611,Air Memphis,,MHU,N
612,Air Marrakech Service,,MKH,N
613,Air Max Africa,,AZX,N
614,Arizona Airways,,AZY,N
615,Azza Transport,,AZZ,N
616,Air Continental Inc,,NAR,N
617,Antanik-Air,,NAU,N
618,Air Newark,,NER,N
619,Aircraft Support and Services,,NFF,N
620,Aerobanana,,OBA,N
621,Amako Airlines,,OBK,N
622,Aserca Airlines,R7,OCA,Y
623,Afrique CArgo Service Senegal,,NFS,N
624,Angoservice,,NGC,N
625,Angel Airlines,,NGE,N
626,Angel Flight America,,NGF,N
627,Air Atonabee,,OUL,N
628,Aero Nova,,OVA,N
629,Amira Air,,XPE,N
630,Aero Express Intercontinental,,XSS,N
631,Advance Aviation Services,,XTJ,N
632,Air Libya Tibesti,,TLR,N
633,Aerovic,,OVC,N
634,Airventure,,RVE,N
